iyear,imonth,iday,country_txt,provstate,city,latitude,longitude,location,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,gtype,grace,weaptype1,weaptype1_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ransom,ransomamt
1995,2,28,United States,California,San Francisco,37.777125,-122.419644,,1,0,7,Facility/Infrastructure Attack,5,Abortion Related,40,Clinics,Buena Vista Womens Service/Pregnancy Consultation*,Office Bldg,217,United States,Unknown,Right-Wing,NA,8,Incendiary,Incendiary,0,,,0,,,1,,,,,0,
1970,4,13,United States,Missouri,Kansas City,39.10296,-94.583062,,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,Linwood Methodist Church,"Linwood Methodist Church, Kansas City",217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Natural gas regulator of Church was destroyed.  Windows of church and surrounding buildings shattered.,0,
1971,3,6,United States,Texas,Texarkana,33.42558,-94.048254,The incident occurred at New Town Church.,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Black Baptist Church,Mount Orange Baptist Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,Firebomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),200000,The church was destroyed.,0,
1971,3,6,United States,Texas,Texarkana,33.42558,-94.048254,The incident occurred at New Town Church.,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Black Baptist Church,St. Paul's Baptist Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,Firebomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),175000,The church was destroyed.,0,
1971,3,7,United States,Texas,Texarkana,33.42558,-94.048254,The incident occurred at New Town Church.,0,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Black Baptist Church,New Town Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,The firebomb sputtered but failed to explode,0,0,0,0,0,0,0,,,,,0,
1971,3,7,United States,Texas,Texarkana,33.42558,-94.048254,The incident occurred at New Town Church.,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Black Baptist Church,Holy Chapel,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,Firebomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,The pulpit was burnt.,0,
1979,9,21,United States,Pennsylvania,Philadelphia,39.95227,-75.162369,,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,,,,Public platform where pope was to hold open air mass,217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1990,1,30,United States,Texas,Houston,29.729316,-95.433578,3700 Southwest Freeway,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,85,Religious Figure,Christian Evangelist,John Osteen,217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,Shoebox sized pipe bomb filled with large nails wrapped in a package,0,0,0,1,1,0,0,,,,,0,
1990,4,27,United States,Virginia,Virginia Beach,36.848311,-75.979278,,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,85,Religious Figure,Christian Broadcasting Network,Reverend Pat Robertson,217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,Explosive device placed in a six inch package,0,0,0,1,1,0,0,,,,,0,
1995,1,29,United States,Tennessee,Columbia,35.615725,-87.035447,,1,0,2,Armed Assault,15,Religious Figures/Institutions,86,Place of Worship,,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,Incendiary,0,,,0,,,1,,,,,0,
1995,1,29,United States,Tennessee,Columbia,35.615725,-87.035447,,1,0,2,Armed Assault,15,Religious Figures/Institutions,86,Place of Worship,,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,Incendiary,0,,,0,,,1,,,,,0,
1995,11,15,United States,Massachusetts,Boston,42.358635,-71.056699,,0,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,Christian Science World Headquarters,Christian Science Church,217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1996,1,1,United States,Alabama,Opelika,32.6505,-85.380649,,1,0,1,Assassination,15,Religious Figures/Institutions,85,Religious Figure,,Episcopal Priest,217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,Explosive,0,,,1,1,,1,,,,,0,
1996,1,12,United States,Virginia,Virginia Beach,36.848311,-75.979278,,0,0,3,Bombing/Explosion,15,Religious Figures/Institutions,85,Religious Figure,Christian Broadcasting Network,Reverend Pat Robertson,217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,Explosive device placed in a six inch package,0,0,0,0,0,0,0,,,,,0,
1997,12,30,United States,Illinois,Oakwood,40.11411,-87.778197,,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,Oakwood United Methodist Church,church,217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,Explosive,1,1,,0,,,1,,,,,0,
2015,2,17,United States,Florida,Melbourne,28.122223,-80.689149,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,New Shiloh Christian Center,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),5000,"An unknown number of chairs and other furniture pieces were damaged in this attack. Additionally, a shed as well as an unknown number of locks and doors were damaged.",,
2015,6,22,United States,Tennessee,Knoxville,35.967509,-83.946033,The incident occurred in the College Hills area.,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,College Hill Seventh Day Adventist Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church building and a church van were damaged in this attack.,,
2015,6,23,United States,Georgia,Macon,32.823281,-83.664394,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,God's Power Church of Christ,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church building was damaged in this attack.,,
2015,6,24,United States,North Carolina,Charlotte,35.213923,-80.790063,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Briar Creek Baptist Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),250000,A church building was damaged in this attack.,,
2015,6,26,United States,South Carolina,Warrenville,33.505056,-81.818259,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Glover Grove Missionary Baptist Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church building was damaged in this attack.,,
2015,7,15,United States,Texas,Houston,29.779987,-95.327984,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Fifth Ward Missionary Baptist Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,The Fifth Ward Missionary Baptist Church was damaged in this attack,,
2015,7,19,United States,Illinois,Aurora,41.758165,-88.239197,,0,0,7,Facility/Infrastructure Attack,5,Abortion Related,40,Clinics,"Planned Parenthood Federation of America, Inc.",Clinic,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,0,,,,,,
2015,8,2,United States,New Mexico,Las Cruces,32.294582,-106.754459,,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,Calvary Baptist Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church mailbox was damaged in this attack.,,
2015,8,2,United States,New Mexico,Las Cruces,32.319945,-106.790007,,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,Holy Cross Catholic Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A garbage can and a glass entryway to the church were damaged in this attack.,,
2015,8,14,United States,New Mexico,Las Cruces,32.292512,-106.773223,,0,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,First Presbyterian Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,6,Explosives/Bombs/Dynamite,A pipe bomb was used in the attack.,0,0,0,0,0,0,0,,,,,,
2016,4,21,United States,Idaho,Bonners Ferry,48.684131,-116.316826,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,St. Ann's Curch,Catholic Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1000000,"Sources estimated that the fire caused $1,000,000 in damages to the church.",,
2016,4,26,United States,Massachusetts,Haverhill,42.7678,-71.04865,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Riverside Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),70000,"Two exterior doors, several window frames, sections of vinyl sided walls, the rear entrance, and one side of the exterior of the church were damaged in this attack.",,
2016,5,25,United States,Washington,Vancouver,45.672237,-122.658793,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,First Congregational Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1830000,A church was damaged in this attack.,,
2016,5,26,United States,Washington,Vancouver,45.710821,-122.635039,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Liberty Bible Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church was damaged in this attack.,,
2016,6,5,United States,New York,New York City,40.632326,-74.078752,The incident occurred in the Stapleton area of Staten Island.,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,St. Paul's Memorial Church,Episcopal Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,A Molotov cocktail was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church was damaged in this attack.,,
2016,6,9,United States,New York,New York City,40.628247,-74.079766,The incident occurred in the Stapleton area of Staten Island,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Unknown,First Central Baptist Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,A Molotov cocktail was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church was damaged in this attack.,,
2016,7,25,United States,Nevada,Las Vegas,36.162257,-115.138854,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Unknown,Mormon Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),1000,A church building was damaged in this attack.,,
2016,9,2,United States,Nevada,Las Vegas,36.197294,-115.131528,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Holy Trinity African Methodist Episcopal Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church was damaged in this attack.,,
2016,10,3,United States,Nebraska,Lincoln,40.846244,-96.700429,,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Belmont Baptist Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church was damaged in this attack.,,
2016,10,3,United States,Nebraska,Lincoln,40.846274,-96.700467,The incident occurred in the Belmont neighborhood.,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Belmont Baptist Church,Church,217,United States,Unknown,Anti-Christian,Anti-Christian,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A church was damaged in this attack.,,
